customer_id,monthly_charges,churn_probability,actual_churn,risk_level,value_level,segment
C0001,93.2,0.1416317364036663,Yes,Low Risk,High Value,Low Risk / High Value
C0002,38.18,0.4809460548668121,No,Medium Risk,Low Value,Medium Risk / Low Value
C0003,98.52,0.7210208512113937,No,High Risk,High Value,High Risk / High Value
C0004,50.46,0.37775736186923,Yes,Low Risk,Low Value,Low Risk / Low Value
C0005,72.01,0.6429568214057887,Yes,High Risk,High Value,High Risk / High Value
C0006,58.87,0.4545217329728784,Yes,Medium Risk,Low Value,Medium Risk / Low Value
C0007,39.87,0.5394738229961624,No,Medium Risk,Low Value,Medium Risk / Low Value
C0008,26.36,0.39662168241502954,No,Low Risk,Low Value,Low Risk / Low Value
C0009,97.1,0.7195649306134162,Yes,High Risk,High Value,High Risk / High Value
C0010,44.93,0.33062190088906107,Yes,Low Risk,Low Value,Low Risk / Low Value
C0011,41.84,0.6453218248031379,Yes,High Risk,Low Value,High Risk / Low Value
C0012,71.07,0.5526335251592339,Yes,Medium Risk,High Value,Medium Risk / High Value
C0013,116.24,0.263617162118096,Yes,Low Risk,High Value,Low Risk / High Value
C0014,34.49,0.5705288504847339,Yes,Medium Risk,Low Value,Medium Risk / Low Value
C0015,101.64,0.2992787090726205,Yes,Low Risk,High Value,Low Risk / High Value
C0016,29.62,0.3871990473760038,No,Low Risk,Low Value,Low Risk / Low Value
C0017,101.72,0.5749895439944195,Yes,Medium Risk,High Value,Medium Risk / High Value
C0018,109.71,0.6700092171312615,No,High Risk,High Value,High Risk / High Value
C0019,36.08,0.7804246102723759,Yes,High Risk,Low Value,High Risk / Low Value
C0020,85.76,0.25300893925835305,No,Low Risk,High Value,Low Risk / High Value
C0021,70.26,0.3634421507141913,No,Low Risk,Low Value,Low Risk / Low Value
C0022,111.49,0.2721704878495996,Yes,Low Risk,High Value,Low Risk / High Value
C0023,51.69,0.27961150484689923,No,Low Risk,Low Value,Low Risk / Low Value
C0024,52.26,0.5612396974493957,No,Medium Risk,Low Value,Medium Risk / Low Value
C0025,99.83,0.7190113652916238,Yes,High Risk,High Value,High Risk / High Value
C0026,74.26,0.5221342156107424,No,Medium Risk,High Value,Medium Risk / High Value
C0027,82.29,0.48764280742137533,No,Medium Risk,High Value,Medium Risk / High Value
C0028,47.08,0.22796574174894038,No,Low Risk,Low Value,Low Risk / Low Value
C0029,29.39,0.7042678924929805,Yes,High Risk,Low Value,High Risk / Low Value
C0030,32.02,0.5110087656177128,No,Medium Risk,Low Value,Medium Risk / Low Value
C0031,66.47,0.4782144231441546,No,Medium Risk,Low Value,Medium Risk / Low Value
C0032,81.59,0.38522087610920985,No,Low Risk,High Value,Low Risk / High Value
C0033,82.59,0.24622050331662107,No,Low Risk,High Value,Low Risk / High Value
C0034,88.16,0.49910574598725066,No,Medium Risk,High Value,Medium Risk / High Value
C0035,95.06,0.7009367817369752,Yes,High Risk,High Value,High Risk / High Value
C0036,95.45,0.3995077120124394,No,Low Risk,High Value,Low Risk / High Value
C0037,51.93,0.7293827586058309,Yes,High Risk,Low Value,High Risk / Low Value
C0038,98.96,0.37715099438369837,No,Low Risk,High Value,Low Risk / High Value
