customer_id,gender,senior_citizen,partner,dependents,tenure_months,contract_type,monthly_charges,total_charges,payment_method,internet_service,tech_support,online_security,paperless_billing,churn
C0001,Female,0,No,No,52,Two year,93.2,4846.4,Credit card,Fiber optic,Yes,Yes,Yes,Yes
C0002,Female,0,Yes,Yes,30,Month-to-month,38.18,1145.4,Electronic check,DSL,Yes,No,Yes,No
C0003,Female,0,Yes,Yes,15,Month-to-month,98.52,1477.8,Bank transfer,DSL,No,No,Yes,No
C0004,Female,0,Yes,No,14,Two year,50.46,706.44,Electronic check,DSL,No,No,Yes,Yes
C0005,Female,0,No,No,4,Month-to-month,72.01,288.04,Mailed check,Fiber optic,Yes,No,No,Yes
C0006,Male,0,Yes,No,62,Month-to-month,58.87,3649.94,Credit card,DSL,No,Yes,Yes,Yes
C0007,Male,0,No,No,9,One year,39.87,358.83,Electronic check,DSL,No,No,No,No
C0008,Female,0,Yes,Yes,12,Month-to-month,26.36,316.32,Bank transfer,DSL,Yes,No,No,No
C0009,Female,0,No,No,5,One year,97.1,485.5,Electronic check,Fiber optic,No,No,Yes,Yes
C0010,Male,0,No,No,4,Two year,44.93,179.72,Bank transfer,Fiber optic,No,Yes,Yes,Yes
C0011,Male,0,Yes,Yes,6,Month-to-month,41.84,251.04,Electronic check,Fiber optic,No,Yes,Yes,Yes
C0012,Male,0,No,No,3,Month-to-month,71.07,213.21,Bank transfer,Fiber optic,Yes,Yes,Yes,Yes
C0013,Female,0,No,No,62,Two year,116.24,7206.88,Electronic check,DSL,No,Yes,Yes,Yes
C0014,Female,0,Yes,No,1,Month-to-month,34.49,34.49,Bank transfer,Fiber optic,No,Yes,No,Yes
C0015,Female,0,Yes,Yes,70,Month-to-month,101.64,7114.8,Bank transfer,Fiber optic,Yes,No,No,Yes
C0016,Male,0,Yes,Yes,19,Month-to-month,29.62,562.78,Bank transfer,No,Yes,No,No,No
C0017,Male,0,No,No,7,One year,101.72,712.04,Credit card,Fiber optic,No,Yes,Yes,Yes
C0018,Male,0,No,No,19,One year,109.71,2084.49,Credit card,No,No,No,Yes,No
C0019,Female,0,No,No,25,Month-to-month,36.08,902.0,Electronic check,Fiber optic,No,No,Yes,Yes
C0020,Female,0,No,No,8,Two year,85.76,686.08,Mailed check,Fiber optic,Yes,Yes,Yes,No
C0021,Male,0,No,No,27,One year,70.26,1897.02,Bank transfer,Fiber optic,No,Yes,No,No
C0022,Male,0,No,No,30,Two year,111.49,3344.7,Electronic check,Fiber optic,Yes,No,Yes,Yes
C0023,Female,0,No,No,32,Two year,51.69,1654.08,Credit card,DSL,No,No,No,No
C0024,Female,0,Yes,Yes,27,Month-to-month,52.26,1411.02,Mailed check,No,Yes,No,Yes,No
C0025,Male,0,No,Yes,7,Month-to-month,99.83,698.81,Bank transfer,Fiber optic,No,No,No,Yes
C0026,Male,0,Yes,Yes,51,Month-to-month,74.26,3787.26,Mailed check,DSL,No,Yes,Yes,No
C0027,Female,0,No,No,60,Month-to-month,82.29,4937.4,Bank transfer,DSL,Yes,No,Yes,No
C0028,Female,0,No,No,19,One year,47.08,894.52,Bank transfer,Fiber optic,Yes,Yes,No,No
C0029,Male,0,No,No,34,Month-to-month,29.39,999.26,Credit card,DSL,No,No,Yes,Yes
C0030,Female,0,No,Yes,16,Month-to-month,32.02,512.32,Mailed check,DSL,Yes,Yes,Yes,No
C0031,Female,0,No,No,39,Month-to-month,66.47,2592.33,Credit card,Fiber optic,Yes,No,No,No
C0032,Male,0,No,No,69,One year,81.59,5629.71,Credit card,No,No,No,No,No
C0033,Female,0,No,Yes,51,Two year,82.59,4212.09,Credit card,No,No,Yes,Yes,No
C0034,Male,0,Yes,Yes,8,Month-to-month,88.16,705.28,Mailed check,DSL,Yes,No,No,No
C0035,Male,0,Yes,No,36,Month-to-month,95.06,3422.16,Bank transfer,No,No,No,Yes,Yes
C0036,Female,0,Yes,No,55,One year,95.45,5249.75,Mailed check,DSL,No,No,No,No
C0037,Male,0,No,No,19,Month-to-month,51.93,986.67,Electronic check,No,No,No,No,Yes
C0038,Female,0,Yes,No,53,One year,98.96,5244.88,Electronic check,DSL,No,Yes,Yes,No
C0039,Male,1,No,Yes,9,One year,81.82,736.38,Mailed check,DSL,Yes,No,Yes,Yes
C0040,Female,0,Yes,No,8,Month-to-month,57.06,456.48,Mailed check,No,No,No,No,Yes
C0041,Male,0,Yes,No,19,Month-to-month,69.26,1315.94,Electronic check,DSL,No,Yes,Yes,Yes
C0042,Male,0,Yes,Yes,63,Month-to-month,28.29,1782.27,Electronic check,Fiber optic,No,No,No,No
C0043,Male,0,Yes,No,36,One year,116.93,4209.48,Electronic check,Fiber optic,No,No,Yes,No
C0044,Male,0,No,Yes,16,Two year,65.57,1049.12,Mailed check,Fiber optic,Yes,Yes,Yes,No
C0045,Female,0,No,No,27,One year,73.61,1987.47,Mailed check,DSL,No,No,Yes,No
C0046,Male,0,Yes,Yes,25,Month-to-month,113.27,2831.75,Electronic check,No,Yes,Yes,Yes,No
C0047,Female,0,Yes,No,59,Two year,103.83,6125.97,Mailed check,Fiber optic,No,Yes,Yes,No
C0048,Male,0,No,Yes,23,One year,114.48,2633.04,Bank transfer,No,Yes,No,Yes,No
C0049,Female,0,No,No,34,Month-to-month,31.36,1066.24,Credit card,Fiber optic,No,No,Yes,No
C0050,Female,0,No,No,17,Month-to-month,22.88,388.96,Mailed check,Fiber optic,No,No,Yes,Yes
C0051,Female,0,Yes,Yes,51,Two year,54.83,2796.33,Bank transfer,Fiber optic,No,Yes,No,No
C0052,Male,0,Yes,Yes,17,Month-to-month,65.91,1120.47,Credit card,No,No,Yes,No,No
C0053,Male,0,Yes,Yes,16,One year,38.19,611.04,Mailed check,DSL,No,No,No,No
C0054,Male,0,Yes,Yes,42,Month-to-month,28.87,1212.54,Mailed check,DSL,No,Yes,Yes,Yes
C0055,Female,1,Yes,No,56,Two year,112.09,6277.04,Electronic check,DSL,Yes,No,No,Yes
C0056,Male,0,Yes,No,28,Month-to-month,66.25,1855.0,Bank transfer,Fiber optic,Yes,Yes,No,No
C0057,Male,0,No,Yes,38,Month-to-month,44.25,1681.5,Bank transfer,DSL,Yes,Yes,Yes,Yes
C0058,Male,0,No,Yes,25,One year,98.92,2473.0,Credit card,Fiber optic,Yes,No,Yes,No
C0059,Female,0,No,Yes,52,One year,77.08,4008.16,Mailed check,Fiber optic,No,No,Yes,No
C0060,Female,1,No,No,62,Month-to-month,37.34,2315.08,Credit card,No,Yes,No,Yes,No
C0061,Female,0,No,Yes,6,Two year,69.07,414.42,Mailed check,Fiber optic,No,No,Yes,Yes
